group,sum,mean,count
Data and Information System,5863258245,17821453.632218845,329
"Engineering, and Construction",773783961,8060249.59375,96
Environment and Agriculture,4160680970,18574468.61607143,224
"Finance, Business, and Marketing",12380338588,21606175.546247818,573
Health and Biotech,5726926280,13045390.159453303,439
"Media, Communications, and Entertainment",271306431,4759761.947368421,57
Others,588945028,9654836.524590164,61
Services and Security,3835123431,22168343.531791907,173
Technology and Software,13120212477,18273276.430362117,718
Travel and Logistics,1969997481,25256377.96153846,78
