yearQuarter,Equity Crowdfunding,Grant,Pre-Seed,Seed,Series ?,Series A,Series B,Series C,Series D,Series E,Series F,Series G
2019 Q1,0.0,0.0,8748057.0,68040162.0,298575249.0,104412360.0,269909432.0,68250000.0,55477380.0,0.0,0.0,0.0
2019 Q2,0.0,0.0,8570758.0,81906986.0,309619415.0,155207968.0,494827564.0,13269000.0,0.0,0.0,0.0,0.0
2019 Q3,0.0,105000.0,8459930.0,102125893.0,250825793.0,118272248.0,433731725.0,228714650.0,661975000.0,0.0,0.0,0.0
2019 Q4,0.0,0.0,10031838.0,118656525.0,96933217.0,407614957.0,91021085.0,40000000.0,387431970.0,86248500.0,0.0,0.0
2020 Q1,0.0,0.0,2467500.0,79591385.0,149499248.0,339281800.0,200710000.0,177700000.0,107000000.0,62785300.0,0.0,0.0
2020 Q2,0.0,0.0,9822041.0,97231765.0,299919668.0,209580106.0,304871600.0,241305000.0,9700000.0,230350000.0,0.0,0.0
2020 Q3,0.0,4850000.0,665114.0,116993825.0,538615435.0,150037228.0,106000000.0,157600000.0,13588640.0,0.0,0.0,0.0
2020 Q4,0.0,100000.0,3614736.0,87499876.0,128933885.0,291863388.0,34437296.0,0.0,0.0,222000000.0,0.0,0.0
2021 Q1,1823097.0,7402319.0,15237911.0,132481823.0,674040647.0,401822125.0,444030500.0,562907500.0,124580000.0,164658000.0,213000000.0,0.0
2021 Q2,6076878.0,89024900.0,5753120.0,218745313.0,414110404.0,480404479.0,631976000.0,1130784000.0,1076109600.0,291375000.0,314418000.0,0.0
2021 Q3,484000.0,2570000.0,11962777.0,147498600.0,783257521.0,384558966.0,1100212100.0,521549500.0,319100000.0,163000000.0,0.0,175000000.0
2021 Q4,872783.0,197000.0,19652658.0,272649000.0,453657450.0,593475000.0,842000000.0,120594425.0,23000000.0,166000000.0,0.0,500000000.0
2022 Q1,0.0,0.0,7972000.0,242140574.0,727733955.0,856082725.0,755940375.0,1173879100.0,1097395940.0,0.0,0.0,0.0
2022 Q2,0.0,0.0,19012025.0,239093334.0,46000000.0,357809359.0,407500000.0,308700000.0,0.0,0.0,0.0,537684160.0
2022 Q3,0.0,0.0,50719956.0,65737170.0,216800027.0,214842870.0,59500000.0,108167300.0,0.0,0.0,0.0,0.0
2022 Q4,0.0,9900000.0,15940000.0,89309665.0,680834096.0,245175610.0,270100000.0,518550950.0,66771250.0,360000000.0,0.0,0.0
2023 Q1,0.0,1000000.0,12076192.0,69461630.0,276250000.0,175174540.0,163221447.0,47000000.0,133661500.0,0.0,0.0,0.0
2023 Q2,0.0,0.0,13777982.0,99107896.0,926927410.0,228199100.0,631200000.0,514630300.0,95000000.0,0.0,0.0,0.0
2023 Q3,0.0,0.0,4700000.0,91183815.0,498700820.0,172147875.0,159138625.0,139045100.0,107916000.0,0.0,33500000.0,0.0
2023 Q4,0.0,0.0,8650000.0,119620415.0,570000000.0,223209725.0,58000000.0,68000000.0,82245900.0,20000000.0,0.0,0.0
2024 Q1,0.0,0.0,16013000.0,116641833.0,344382215.0,231208250.0,100000000.0,27219800.0,0.0,0.0,0.0,0.0
2024 Q2,0.0,0.0,8300000.0,71888360.0,1027311895.0,184474465.0,427514438.0,155000000.0,0.0,136000000.0,0.0,0.0
2024 Q3,5000000.0,24000000.0,12207000.0,86000000.0,315000000.0,186650000.0,236000000.0,62700000.0,687000000.0,0.0,1240000000.0,0.0
2024 Q4,0.0,57300000.0,14500000.0,99626953.0,1533835000.0,245600039.0,158100028.0,217200000.0,1055000000.0,0.0,0.0,0.0
2025 Q1,0.0,0.0,3550000.0,27280009.0,270000000.0,108500000.0,266000000.0,85900000.0,0.0,0.0,0.0,0.0
