yearQuarter,< 100k,100k - 1M,1M-5M,5M-10M,10M-100M,> 100M
2019 Q1,64,26,33,5,25,0
2019 Q2,30,32,41,11,20,2
2019 Q3,35,35,45,10,24,3
2019 Q4,24,22,35,14,18,3
2020 Q1,41,31,31,12,25,1
2020 Q2,34,27,38,26,24,3
2020 Q3,30,34,40,23,17,2
2020 Q4,22,18,29,19,16,1
2021 Q1,40,38,58,21,29,9
2021 Q2,38,23,49,19,38,17
2021 Q3,15,32,44,17,38,14
2021 Q4,27,16,51,14,47,6
2022 Q1,9,32,43,23,47,13
2022 Q2,3,9,42,22,27,4
2022 Q3,13,2,24,8,25,0
2022 Q4,0,1,22,11,33,4
2023 Q1,3,2,17,11,21,2
2023 Q2,5,1,28,9,31,8
2023 Q3,2,1,22,6,24,3
2023 Q4,4,1,14,8,24,2
2024 Q1,3,1,21,10,17,1
2024 Q2,6,1,31,8,18,5
2024 Q3,5,2,18,7,27,4
2024 Q4,9,0,23,10,20,7
2025 Q1,3,0,10,1,11,2
