yearQuarter,Alberta,British Columbia,East Coast,Other,Ottawa,Quebec,Toronto,Waterloo Region
2019 Q1,16500000.0,258864360.0,0.0,32467095.0,18960490.0,126130117.0,269771438.0,150719140.0
2019 Q2,7350000.0,231186070.0,186000.0,166459100.0,107327809.0,99638147.0,328038625.0,123215940.0
2019 Q3,71042115.0,897808050.0,7140000.0,42499833.0,6796279.0,397388654.0,364975013.0,16560295.0
2019 Q4,68951317.0,177767699.0,895000.0,3347440.0,22718982.0,144692129.0,573937454.0,241628071.0
2020 Q1,46403607.0,338356731.0,0.0,26577441.0,13753237.0,261379676.0,296788891.0,135775650.0
2020 Q2,81330000.0,375994225.0,25000.0,5330000.0,33306379.0,525558306.0,227431270.0,153805000.0
2020 Q3,102376000.0,170423044.0,120000.0,1628519.0,2000000.0,357321336.0,312125170.0,142356173.0
2020 Q4,75091500.0,79498054.0,9234216.0,0.0,0.0,130311607.0,203399244.0,270914560.0
2021 Q1,163369387.0,1020843546.0,12750000.0,64474325.0,23664125.0,269624768.0,1172537496.0,14720275.0
2021 Q2,16248800.0,1200103783.0,108470000.0,187700000.0,25000000.0,863268800.0,1508126909.0,749859402.0
2021 Q3,111225000.0,1100745546.0,15218954.0,73039500.0,73175000.0,538337084.0,1665200409.0,32251971.0
2021 Q4,65830000.0,662157000.0,45745000.0,57784000.0,176500000.0,198717450.0,1210814866.0,574550000.0
2022 Q1,205556000.0,532269677.0,28272000.0,133400000.0,482265740.0,1456625820.0,1865526111.0,157229321.0
2022 Q2,268630000.0,204282500.0,35900000.0,4900000.0,8200000.0,249127702.0,585674516.0,559084160.0
2022 Q3,31700000.0,93319956.0,46350000.0,3800000.0,83819285.0,90200782.0,254910000.0,111667300.0
2022 Q4,169112044.0,435250000.0,44005950.0,0.0,72922152.0,504021250.0,1002870175.0,28400000.0
2023 Q1,227061500.0,95061890.0,16100000.0,44000000.0,25466300.0,317300000.0,120005619.0,32850000.0
2023 Q2,123800000.0,639609450.0,2530000.0,29400000.0,0.0,451270262.0,1000032976.0,262200000.0
2023 Q3,146138625.0,119785400.0,109454800.0,0.0,191590300.0,294403190.0,335441500.0,9518420.0
2023 Q4,105500000.0,299852860.0,0.0,20000000.0,0.0,154229963.0,509143217.0,61000000.0
2024 Q1,66720615.0,71335605.0,1100000.0,27219800.0,0.0,268517822.0,387071256.0,13500000.0
2024 Q2,14100000.0,267755875.0,47714480.0,2550000.0,13000000.0,454108500.0,1196111443.0,15148860.0
2024 Q3,53400000.0,1499500000.0,14357000.0,73000000.0,5000000.0,196200000.0,900200000.0,112900000.0
2024 Q4,582467963.0,1339200031.0,32275000.0,2000000.0,0.0,285600000.0,1135019026.0,4600000.0
2025 Q1,30100000.0,240300009.0,23700000.0,5000000.0,2880000.0,35900000.0,364950000.0,58400000.0
