,ecosystemName,group,amount
0,Alberta,Data and Information System,134657019
1,Alberta,"Engineering, and Construction",16550000
2,Alberta,Environment and Agriculture,411987505
3,Alberta,"Finance, Business, and Marketing",1133005250
4,Alberta,Health and Biotech,81867719
5,Alberta,"Media, Communications, and Entertainment",3400000
6,Alberta,Others,101998461
7,Alberta,Services and Security,92931800
8,Alberta,Technology and Software,873606719
9,Alberta,Travel and Logistics,0
10,British Columbia,Data and Information System,727648138
11,British Columbia,"Engineering, and Construction",192970251
12,British Columbia,Environment and Agriculture,1729765970
13,British Columbia,"Finance, Business, and Marketing",3271174947
14,British Columbia,Health and Biotech,1547679935
15,British Columbia,"Media, Communications, and Entertainment",43664030
16,British Columbia,Others,27835000
17,British Columbia,Services and Security,150246464
18,British Columbia,Technology and Software,4438433420
19,British Columbia,Travel and Logistics,221853206
20,East Coast,Data and Information System,51245000
21,East Coast,"Engineering, and Construction",0
22,East Coast,Environment and Agriculture,180854800
23,East Coast,"Finance, Business, and Marketing",14826000
24,East Coast,Health and Biotech,114282631
25,East Coast,Others,0
26,East Coast,Services and Security,16984480
27,East Coast,Technology and Software,218175489
28,East Coast,Travel and Logistics,5175000
29,Other,Data and Information System,10647272
30,Other,"Engineering, and Construction",3700000
31,Other,Environment and Agriculture,152749500
32,Other,"Finance, Business, and Marketing",328584616
33,Other,Health and Biotech,256928021
34,Other,"Media, Communications, and Entertainment",450000
35,Other,Others,31580000
36,Other,Services and Security,3589000
37,Other,Technology and Software,185573644
38,Other,Travel and Logistics,32775000
39,Ottawa,Data and Information System,209193645
40,Ottawa,"Engineering, and Construction",43850000
41,Ottawa,Environment and Agriculture,10120000
42,Ottawa,"Finance, Business, and Marketing",239208283
43,Ottawa,Health and Biotech,23309260
44,Ottawa,Others,29795740
45,Ottawa,Services and Security,100127293
46,Ottawa,Technology and Software,724491857
47,Ottawa,Travel and Logistics,8250000
48,Quebec,Data and Information System,794203898
49,Quebec,"Engineering, and Construction",61261243
50,Quebec,Environment and Agriculture,904011391
51,Quebec,"Finance, Business, and Marketing",1418294583
52,Quebec,Health and Biotech,1798769557
53,Quebec,"Media, Communications, and Entertainment",108525465
54,Quebec,Others,36221207
55,Quebec,Services and Security,1013774524
56,Quebec,Technology and Software,1762149705
57,Quebec,Travel and Logistics,772661792
58,Toronto,Data and Information System,3434582432
59,Toronto,"Engineering, and Construction",452452467
60,Toronto,Environment and Agriculture,743609487
61,Toronto,"Finance, Business, and Marketing",4045579534
62,Toronto,Health and Biotech,1797964451
63,Toronto,"Media, Communications, and Entertainment",107016936
64,Toronto,Others,332485585
65,Toronto,Services and Security,1965871290
66,Toronto,Technology and Software,4009139934
67,Toronto,Travel and Logistics,901400508
68,Waterloo Region,Data and Information System,501080841
69,Waterloo Region,"Engineering, and Construction",3000000
70,Waterloo Region,Environment and Agriculture,27582317
71,Waterloo Region,"Finance, Business, and Marketing",1929665375
72,Waterloo Region,Health and Biotech,106124706
73,Waterloo Region,"Media, Communications, and Entertainment",8250000
74,Waterloo Region,Others,29029035
75,Waterloo Region,Services and Security,491598580
76,Waterloo Region,Technology and Software,908641709
77,Waterloo Region,Travel and Logistics,27881975
